mapping_id,source_id,source_title,source_construct_id,source_construct_label,source_construct_type,source_definition_or_statement,source_locator,cm4di_target_id,cm4di_target_label,cm4di_target_type,cm4di_domain_id,cm4di_bounded_context_id,mapping_predicate,mapping_direction,confidence,evidence_rationale,semantic_difference,anti_equivalence_note,lifecycle_difference,constraint_difference,formalization_difference,cq_ids,disposition,requires_issue,notes
ALN-012,ODRL,ODRL,,odrl:Constraint,ontology construct,,,CM4DI-P01 extension,AccessCondition,kind,CM4DI-D0007,CM4DI-BC0005,partially-overlaps,neighbor↔CM4DI,medium,ODRL provides reusable rich constraint semantics beyond CM4DI's minimal access-condition layer,,policy constraint language is not identity semantics,,,,,bridge,,provisional
ALN-013,DPV,DPV,,dpv:Purpose,ontology construct,,,external neighbor,purpose/privacy boundary,,,,bridge-to,neighbor↔CM4DI,high,Purpose/legal data-processing semantics should remain DPV-owned when needed by credential/presentation/privacy scenarios,,Purpose is not added to CM4DI Core from EUDI intended-use evidence,,,,,bridge,,provisional
ALN-014,DPV,DPV,,dpv:LegalBasis,ontology construct,,,external neighbor,legal-basis boundary,,,,bridge-to,neighbor↔CM4DI,high,Legal-basis semantics are out of CM4DI Core scope and should align to DPV,,TrustFramework/legal identity does not equal legal basis for processing,,,,,bridge,,provisional
EUDI-MAP-0001,EUDI-S002;EUDI-S003;EUDI-S006;EUDI-S010,EUDI,,Wallet User,regulatory/architecture construct,user in control of a wallet unit,,CM4DI-C0002,IdentitySubject;Holder,roleMixin,CM4DI-D0001,CM4DI-BC0001,contextual-role,EUDI→CM4DI,medium,Do not introduce a universal WalletUser kind into Core; holder/control semantics depend on interaction.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Identity Representation;Credential Exchange; BCs: Identity Semantics Context;Credential Exchange Context
EUDI-MAP-0002,EUDI-S002;EUDI-S003;EUDI-S006;EUDI-S010,EUDI,,Wallet Unit,regulatory/architecture construct,"unique configuration of a wallet solution for an individual wallet user, including wallet instance and secure components",,,Wallet plus implementation configuration,,,,implementation,EUDI→CM4DI,medium,"More specific than CM4DI Wallet role; likely EUDI mapping/package construct, not new Core concept.",,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Credential Exchange; BCs: Credential Exchange Context
EUDI-MAP-0003,EUDI-S002;EUDI-S003;EUDI-S005;EUDI-S010,EUDI,,Wallet Solution,regulatory/architecture construct,"combination of software, hardware, services, settings and configurations required to operate wallet capabilities",,,Application/service composition around Wallet,,,,implementation,EUDI→CM4DI,medium,Product/system construct; should not be equated with Wallet role or DigitalIdentity.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Credential Exchange; BCs: Credential Exchange Context
EUDI-MAP-0004,EUDI-S003;EUDI-S005;EUDI-S010,EUDI,,Wallet Instance,regulatory/architecture construct,software component/instance through which user interacts with wallet unit,,CM4DI-C1007,Application;RuntimeInstance,kind,CM4DI-D0008,CM4DI-BC0006,implementation,EUDI→CM4DI,medium,"Operational software instance, not a new identity semantic primitive.",,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Credential Exchange; BCs: Credential Exchange Context
EUDI-MAP-0005,EUDI-S002;EUDI-S003;EUDI-S005;EUDI-S007;EUDI-S010,EUDI,,Wallet Provider,regulatory/architecture construct,natural/legal person providing wallet solutions,,,HolderService/IdentityServiceProvider specialization candidate,,,,narrower-profile,EUDI→CM4DI,medium,Provider role is EUDI-specific; keep profile/mapping level.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Credential Exchange;Government Identity; BCs: Credential Exchange Context;Government Identity Context
EUDI-MAP-0006,EUDI-S002;EUDI-S006;EUDI-S007;EUDI-S010,EUDI,,Person Identification Data,regulatory/architecture construct,legally governed person identification data issued to wallet units,,CM4DI-C4016,PersonIdentificationData;Credential;Claim,kind,CM4DI-D0015,CM4DI-BC0013,close-narrower,EUDI→CM4DI,medium,CM4DI PID is profile concept; exact EU mandatory/optional attribute schema remains EUDI mapping data.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Government Identity;Credential Management; BCs: Government Identity Context;Credential Lifecycle Context
EUDI-MAP-0007,EUDI-S002;EUDI-S006;EUDI-S010,EUDI,,Electronic Attestation of Attributes,regulatory/architecture construct,attestation carrying attributes with qualified/public-body/non-qualified legal categories,,CM4DI-C4017,GovernmentAttestation;Credential;Claim,kind,CM4DI-D0015,CM4DI-BC0013,broader-target,EUDI→CM4DI,medium,Specific legal EAA categories are EUDI mappings/specializations rather than Core Credential classes.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Government Identity;Credential Management; BCs: Government Identity Context;Credential Lifecycle Context
EUDI-MAP-0008,EUDI-S002;EUDI-S006;EUDI-S007;EUDI-S010,EUDI,,PID Provider,regulatory/architecture construct,provider responsible for issuing/revoking PID and binding it cryptographically to wallet unit,,CM4DI-C2001,Issuer;IdentityServiceProvider,roleMixin,CM4DI-D0005,CM4DI-BC0003,multi-target-role,EUDI→CM4DI,medium,Provider combines credential issuer and governed service-provider responsibilities.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Government Identity;Credential Management; BCs: Government Identity Context;Credential Lifecycle Context
EUDI-MAP-0009,EUDI-S002;EUDI-S006;EUDI-S010,EUDI,,Attestation Provider,regulatory/architecture construct,provider issuing EAA classes to wallet units,,CM4DI-C2001,Issuer;IdentityServiceProvider,roleMixin,CM4DI-D0005,CM4DI-BC0003,multi-target-role,EUDI→CM4DI,medium,Qualified/public-body/non-qualified distinctions remain jurisdiction/profile-specific.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Credential Management;Government Identity; BCs: Credential Lifecycle Context;Government Identity Context
EUDI-MAP-0010,EUDI-S003;EUDI-S006;EUDI-S010,EUDI,,Wallet Unit Attestation,regulatory/architecture construct,attestation enabling relying parties/providers to validate wallet-unit authenticity/status,,CM4DI-C0008,Evidence;Proof;GovernmentAttestation/Credential mapping,roleMixin,CM4DI-D0003,CM4DI-BC0002,profile-artifact,EUDI→CM4DI,medium,Do not conflate Wallet Unit Attestation with PID/EAA or Authenticator.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Identity Evidence;Credential Exchange; BCs: Identity Assurance Context;Credential Exchange Context
EUDI-MAP-0011,EUDI-S006;EUDI-S007;EUDI-S010,EUDI,,Wallet-Relying Party,regulatory/architecture construct,relying party intending to rely on wallet units for public/private digital services,,CM4DI-C0033,RelyingParty,roleMixin,CM4DI-D0009,CM4DI-BC0007,narrower-role,EUDI→CM4DI,medium,Clear specialization/context of generic RelyingParty.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Federation;Credential Exchange; BCs: Federation Context;Credential Exchange Context
EUDI-MAP-0012,EUDI-S010,EUDI,,Relying Party Service,regulatory/architecture construct,ARF v3 concept separating relying-party organization from a service/use surface,,,Application/Resource/service mapping,,,,implementation-profile,EUDI→CM4DI,low,Potentially valuable mapping but not new Core concept; needs ARF section 3.11.2 extraction.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,pending-source-detail,,Domains: Credential Exchange;Identity Administration; BCs: Credential Exchange Context;Identity Administration Context
EUDI-MAP-0013,EUDI-S007,EUDI,,National Register of Wallet-Relying Parties,regulatory/architecture construct,public national electronic register of registered wallet-relying parties,,CM4DI-C4003,TrustRegistry,kind,CM4DI-D0014,CM4DI-BC0012,narrower-registry,EUDI→CM4DI,medium,Government/EUDI specialization of governed TrustRegistry.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0014,EUDI-S007,EUDI,,Registrar of Wallet-Relying Parties,regulatory/architecture construct,designated body establishing/maintaining national RP register and processing registrations,,CM4DI-C4008,Registrar,roleMixin,CM4DI-D0014,CM4DI-BC0012,narrower-role,EUDI→CM4DI,medium,Direct specialization/mapping of existing Registrar role.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0015,EUDI-S006;EUDI-S007,EUDI,,Wallet-Relying Party Access Certificate,regulatory/architecture construct,certificate authenticating and validating registered wallet-relying party,,CM4DI-C0011,Credential;Evidence;Proof,kind,CM4DI-D0005,CM4DI-BC0003,profile-credential,EUDI→CM4DI,medium,"Certificate is a credential/evidence artifact, not RelyingParty identity itself.",,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Credential Management;Identity Evidence; BCs: Credential Lifecycle Context;Identity Assurance Context
EUDI-MAP-0016,EUDI-S006;EUDI-S007,EUDI,,Wallet-Relying Party Registration Certificate,regulatory/architecture construct,data object describing intended use and attributes RP is registered to request,,CM4DI-C0011,Credential;AccessPolicy;PresentationRequest related,kind,CM4DI-D0005,CM4DI-BC0003,composite-mapping,EUDI→CM4DI,medium,Contains governance/policy/request metadata; no single exact CM4DI equivalent is justified.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance;Authorization;Credential Exchange; BCs: Trust Governance Context;Authorization Context;Credential Exchange Context
EUDI-MAP-0017,EUDI-S007;EUDI-S010,EUDI,,Intended Use,regulatory/architecture construct,registered purpose/use associated with requested data/attributes,,,AccessPolicy/AccessCondition;PresentationRequest context,,,,related,EUDI→CM4DI,medium,Should not create a generic Purpose ontology in CM4DI Core; bridge to policy/privacy vocabularies may be preferable.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Authorization;Credential Exchange; BCs: Authorization Context;Credential Exchange Context
EUDI-MAP-0018,EUDI-S007,EUDI,,General Access Policy,regulatory/architecture construct,harmonized policy informing/limiting requested data to registered intended use,,CM4DI-C1017,AccessPolicy;AccessCondition,kind,CM4DI-D0007,CM4DI-BC0005,narrower-policy,EUDI→CM4DI,medium,ODRL/DPV neighbor alignment may carry richer policy/purpose semantics.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Authorization; BCs: Authorization Context
EUDI-MAP-0019,EUDI-S007,EUDI,,Registration,regulatory/architecture construct,governed process by which wallet-relying party is registered after verification,,CM4DI-C4013,EcosystemParticipation;ParticipantStatus;Certification-related event,relator,CM4DI-D0014,CM4DI-BC0012,profile-process,EUDI→CM4DI,medium,Distinct from Identity Enrollment and Provisioning.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0020,EUDI-S007,EUDI,,Suspension or Cancellation of RP Registration,regulatory/architecture construct,governance lifecycle actions changing validity of wallet-relying party registration,,CM4DI-C4014,ParticipantStatus;EcosystemParticipation lifecycle,mode,CM4DI-D0014,CM4DI-BC0012,profile-lifecycle,EUDI→CM4DI,medium,Reinforces governed participation status history.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0021,EUDI-S005,EUDI,,Certification Scheme,regulatory/architecture construct,"national scheme defining functional, cybersecurity and data-protection certification requirements",,CM4DI-C4002,GovernanceFramework;TrustFramework,kind,CM4DI-D0014,CM4DI-BC0012,narrower-framework,EUDI→CM4DI,medium,Certification scheme is not Certification event and not TrustAssessment.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0022,EUDI-S005,EUDI,,Scheme Owner,regulatory/architecture construct,body responsible for development and maintenance of certification scheme,,CM4DI-C4007,GovernanceAuthority,roleMixin,CM4DI-D0014,CM4DI-BC0012,narrower-role,EUDI→CM4DI,medium,May be played by CAB/government/trade association etc.; roleMixin interpretation is appropriate.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0023,EUDI-S005,EUDI,,Conformity Assessment Body,regulatory/architecture construct,body evaluating conformity within certification framework,,CM4DI-C4010,ConformityAssessmentBody,roleMixin,CM4DI-D0014,CM4DI-BC0012,exact-near,EUDI→CM4DI,medium,Existing profile concept directly supported.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0024,EUDI-S005;EUDI-S010,EUDI,,Certification,regulatory/architecture construct,process/status establishing conformity of wallet solution against required scheme,,CM4DI-C4011,Certification,event,CM4DI-D0014,CM4DI-BC0012,exact-near,EUDI→CM4DI,medium,FCAF functional conformance complements but does not replace security certification.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0025,EUDI-S003;EUDI-S010,EUDI,,Trusted List,regulatory/architecture construct,governed list carrying trusted providers/entities/trust anchors under applicable EU trust model,,CM4DI-C4004,TrustedList,kind,CM4DI-D0014,CM4DI-BC0012,exact-near,EUDI→CM4DI,medium,Distinct from TrustRegistry and TrustAnchor.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0026,EUDI-S010,EUDI,,List of Trusted Entities,regulatory/architecture construct,ETSI TS 119 602 list mechanism now supported alongside Trusted Lists for trust-anchor retrieval,,,TrustedList/TrustRegistry mapping,,,,profile-mapping,EUDI→CM4DI,medium,Keep external list type distinct in mappings; do not collapse all governed lists into one encoding.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0027,EUDI-S010,EUDI,,Trust Anchor,regulatory/architecture construct,verification root/material retrieved by wallets/relying parties/issuers from governed trust sources,,CM4DI-C4005,TrustAnchor,roleMixin,CM4DI-D0014,CM4DI-BC0012,exact-near,EUDI→CM4DI,medium,Still distinct from list/registry/framework and from SPIFFE TrustDomain.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
EUDI-MAP-0028,EUDI-S006;EUDI-S010,EUDI,,Selective Disclosure,regulatory/architecture construct,wallet capability to present selected attributes/data rather than full credential set,,CM4DI-C2011,SelectiveDisclosure,mode,CM4DI-D0010,CM4DI-BC0008,exact-near,EUDI→CM4DI,medium,Supports existing profile concept; implementation/cryptographic method remains profile-specific.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Credential Exchange; BCs: Credential Exchange Context
EUDI-MAP-0029,EUDI-S003;EUDI-S006,EUDI,,Wallet User Authentication,regulatory/architecture construct,authentication of wallet user before wallet operations/disclosure,,CM4DI-C0017,Authentication;Authenticator,event,CM4DI-D0006,CM4DI-BC0004,profile-authentication,EUDI→CM4DI,medium,Do not conflate user-to-wallet authentication with credential presentation or relying-party validation.,,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Authentication; BCs: Authentication Context
EUDI-MAP-0030,EUDI-S010;EUDI-S011,EUDI,,Functional Conformance Assessment Framework,regulatory/architecture construct,"shared reusable functional test cases for wallet-solution requirements, complementing security certification",,,Evaluation artifact; Certification/ConformityAssessment related,,,,evaluation-only,EUDI→CM4DI,medium,"Primarily an evaluation/conformance source, not ontology class admission evidence.",,EUDI product/legal constructs are not promoted to Core by name.,,,,,candidate-reconciled,,Domains: Trust Governance; BCs: Trust Governance Context
